District,Bio_Science_Block1_1,Bio_Science_Block1_2,Bio_Science_Block1_3,Bio_Science_Block1_4,Bio_Science_Block1_5,Bio_Science_Block1_6,Bio_Science_Block1_7,Bio_Science_Block1_8,Bio_Science_Block1_9,Course_1_10,Course_1_11,Course_1_12,Course_1_13,Course_1_14,Course_1_15,Course_1_16,Course_1_17,Course_1_18,Course_1_19,Course_1_20,Course_1_21,Course_1_22,Course_1_23,Course_1_24,Course_1_25,Course_1_26,Course_1_27
COLOMBO,1.5223,1.4661,1.4074,1.3405,1.3291,NQC,NQC,1.0659,1.0475,0.9798,1.8993,1.8173,NQC,1.7896,2.0708,NQC,1.6128,1.6254,1.4540,1.6607,1.5804,1.5846,1.3958,1.4176,NQC,1.4027,1.2890
GAMPAHA,1.5237,1.4683,1.4075,1.1314,1.2994,0.9855,0.8145,1.0824,1.0990,0.7099,1.9004,1.8238,1.5419,1.6191,2.0715,NQC,1.5230,1.5573,1.4383,1.6646,1.5831,1.6109,1.1987,1.4118,1.1877,1.4028,1.2924
KALUTARA,1.5306,1.4672,1.4108,1.3636,1.3042,NQC,NQC,1.0824,1.0861,NQC,1.8993,1.8256,NQC,1.7439,2.0778,NQC,1.6372,1.6217,1.4837,1.6729,1.5816,1.5755,NQC,1.4253,NQC,1.4071,1.2942
MATALE,1.5303,1.4677,1.4236,1.1434,1.2923,1.0242,0.9715,1.0775,NQC,0.9710,1.9395,NQC,1.3550,1.6413,2.1285,1.2830,1.5485,1.3858,1.2600,NQC,NQC,NQC,NQC,NQC,0.7375,NQC,1.2953
KANDY,1.5220,1.4672,1.4077,1.2149,1.2910,1.2058,NQC,1.0644,1.0597,NQC,1.9062,1.8299,1.5938,1.6175,2.1012,NQC,1.6052,1.5863,1.4399,1.6662,NQC,1.5706,1.1849,1.4118,1.0294,1.4051,1.2874
NUWARA ELIYA,NQC,1.4705,NQC,1.1783,1.3369,0.9897,0.5016,1.1881,NQC,0.5028,1.9043,NQC,1.3740,1.6321,2.1317,0.9915,1.2766,1.2477,1.1906,NQC,NQC,NQC,NQC,NQC,0.7166,1.4025,1.4071
GALLE,1.5220,1.4695,1.4100,1.3784,1.3157,NQC,NQC,1.0906,1.0844,NQC,1.9083,1.8308,NQC,1.7726,2.0711,NQC,1.6177,1.6418,1.4652,1.6641,1.5831,1.5707,NQC,1.4368,NQC,1.4033,1.2890
MATARA,1.5398,1.4706,1.4255,1.1355,1.2887,1.0455,1.0867,1.0733,1.0597,0.9301,1.9034,1.8589,NQC,1.8598,2.0708,NQC,1.6211,1.6303,1.4847,1.6684,1.6012,1.6007,NQC,NQC,NQC,1.4072,1.2876
HAMBANTOTA,1.5416,1.4675,1.4126,1.1593,1.2869,1.2000,1.1875,1.0796,1.0460,1.0152,1.9110,1.8333,NQC,1.6770,2.0774,NQC,1.5316,1.5542,1.4738,1.6617,1.6017,1.5746,NQC,1.4324,NQC,1.4044,1.2906
JAFFNA,1.5286,1.4670,1.4459,1.2472,1.4033,NQC,NQC,1.0834,1.0711,0.9917,1.9123,1.8166,1.6341,1.6990,2.0735,NQC,1.3428,1.3633,1.3728,1.6718,1.5804,NQC,1.3857,NQC,1.3817,1.4109,1.2947
KILINOCHCHI,NQC,NQC,NQC,1.2491,NQC,NQC,0.5093,NQC,NQC,0.5106,NQC,NQC,1.5263,1.6248,2.1312,1.5908,1.4093,1.4223,1.3933,NQC,NQC,NQC,1.2435,1.4432,NQC,NQC,NQC
MANNAR,NQC,NQC,NQC,NQC,NQC,NQC,0.5493,NQC,NQC,0.6943,1.9762,NQC,NQC,1.7861,NQC,0.9977,1.0591,0.7844,0.9649,NQC,NQC,NQC,NQC,NQC,0.4759,NQC,NQC
MULLAITIVU,NQC,NQC,NQC,NQC,NQC,0.9991,0.6885,NQC,NQC,0.5344,NQC,NQC,1.4026,1.7731,2.6297,0.8496,0.7279,0.7512,0.8133,NQC,NQC,NQC,NQC,NQC,0.4575,NQC,NQC
VAVUNIYA,NQC,NQC,NQC,1.2182,NQC,NQC,0.4300,NQC,NQC,0.7266,1.9837,NQC,1.5431,1.6545,2.1521,0.8926,1.0141,1.0891,1.1327,NQC,NQC,NQC,NQC,NQC,0.5855,NQC,NQC
TRINCOMALEE,1.5537,NQC,NQC,1.1836,NQC,0.9869,0.7338,1.1568,NQC,0.7358,1.9472,NQC,1.3606,1.6581,2.0845,1.0020,1.3231,1.1033,1.1632,NQC,NQC,NQC,1.3243,NQC,0.5849,NQC,NQC
