District,Applied_Science_Bio_1,Applied_Science_Bio_2,Environmental_Science,Pharmacy,Medical_Lab_Technology,Nursing,Course_2_7,Course_2_8,Course_2_9,Course_2_10,Course_2_11,Course_2_12,Course_2_13,Course_2_14,Course_2_15,Course_2_16,Course_2_17,Course_2_18,Course_2_19,Course_2_20,Course_2_21,Course_2_22,Course_2_23,Course_2_24,Course_2_25,Course_2_26,Course_2_27
COLOMBO,1.2351,1.1400,0.9527,1.0667,0.9551,0.9551,1.0726,0.9673,1.0350,0.9202,0.8808,0.8795,1.6258,1.5149,1.6277,1.5541,1.3309,1.3902,1.3233,1.3729,1.3161,1.3186,1.3215,1.4791,1.5329,1.4484,1.2653
GAMPAHA,1.2322,1.1415,0.8866,1.0668,0.9392,0.9097,1.0307,0.9703,1.0350,0.9219,0.8600,0.8551,1.6258,1.5160,1.6276,1.5547,1.2952,1.3910,1.3642,NQC,1.2900,1.3030,1.3078,1.4162,1.5312,1.4504,1.2333
KALUTARA,1.2333,1.1393,1.0310,1.0664,1.0295,1.0305,1.1373,0.9679,1.0328,0.9430,0.9439,0.9957,1.6505,1.5152,1.6323,1.5565,NQC,1.3902,NQC,NQC,1.3345,1.3328,1.3381,1.4561,1.5330,1.4524,1.2478
MATALE,NQC,1.1891,0.8668,1.0864,0.7518,0.7660,0.9115,1.0151,NQC,0.9225,0.7211,0.6560,1.6558,1.5195,1.6462,1.5629,1.2560,1.3909,NQC,NQC,1.2521,1.3081,1.3146,1.4621,1.5336,1.4534,1.2476
KANDY,1.2451,1.1415,0.9485,1.0692,0.9573,0.9537,1.1331,0.9686,1.0323,0.9203,0.8947,0.9075,1.6374,1.5160,1.6320,1.5634,1.2069,1.3913,1.2146,1.2055,1.2373,1.3184,1.3111,1.4452,1.5387,1.4509,1.2406
NUWARA ELIYA,NQC,NQC,0.8758,NQC,0.6325,0.3413,0.9032,NQC,NQC,NQC,NQC,0.3008,1.6291,1.5214,1.6614,1.5583,1.0607,1.4025,1.0325,1.0556,1.2417,1.3172,1.3078,1.4303,NQC,1.4578,NQC
GALLE,1.2413,1.1407,NQC,1.0763,NQC,NQC,1.1156,0.9684,1.0305,0.9433,NQC,0.9509,1.6258,1.5460,1.6309,1.5546,NQC,1.3916,NQC,NQC,1.3005,1.3024,1.3230,1.4835,1.5308,1.4505,1.2354
MATARA,1.2326,1.1394,NQC,1.1148,NQC,NQC,1.1967,0.9681,1.0355,0.9450,NQC,NQC,1.6290,1.5237,1.6269,1.5557,NQC,1.3902,NQC,NQC,1.3226,1.3254,1.3761,1.4499,1.5380,1.4581,1.2448
HAMBANTOTA,1.2322,1.1401,NQC,1.0700,NQC,NQC,1.1648,0.9723,1.0378,0.9439,1.0609,NQC,1.6331,1.5181,1.6425,1.5583,1.1506,1.3975,1.1543,1.1557,1.2392,1.3035,1.3468,1.4462,NQC,1.4560,NQC
JAFFNA,1.2454,1.1424,0.9421,NQC,0.9613,0.9778,1.1933,1.0063,1.0328,0.9303,0.8597,0.8597,1.6710,1.5514,1.6323,NQC,1.0632,1.4820,1.0020,1.0296,NQC,NQC,1.3165,1.3895,NQC,NQC,NQC
KILINOCHCHI,NQC,NQC,0.9653,1.0711,0.7150,0.5508,1.0961,NQC,NQC,NQC,0.8399,0.5409,1.7671,1.6352,1.7552,NQC,1.1018,NQC,1.0094,NQC,NQC,NQC,NQC,1.3616,NQC,NQC,NQC
MANNAR,NQC,NQC,NQC,NQC,NQC,0.3005,0.6937,NQC,NQC,NQC,NQC,0.2564,NQC,1.5225,1.7765,NQC,1.1173,1.4043,0.9684,0.9923,NQC,NQC,1.3931,1.3356,NQC,1.4842,NQC
MULLAITIVU,NQC,NQC,NQC,NQC,NQC,0.1576,0.6691,NQC,NQC,NQC,NQC,-0.0096,1.7216,1.5814,1.9551,NQC,1.1405,NQC,0.9981,NQC,1.4426,NQC,NQC,0.9660,NQC,NQC,NQC
VAVUNIYA,NQC,NQC,NQC,NQC,NQC,0.2648,0.5994,NQC,NQC,NQC,NQC,0.1837,NQC,1.7075,1.6901,NQC,1.0744,NQC,0.9721,1.0400,1.2366,NQC,NQC,1.4860,1.5929,1.5004,NQC
