District,Biological_Science_General_1,Biological_Science_General_2,Biological_Science_General_3,Course_3_4,Course_3_5,Course_3_6,Course_3_7,Course_3_8,Course_3_9,Course_3_10,Course_3_11,Course_3_12,Course_3_13,Course_3_14,Course_3_15,Course_3_16,Course_3_17,Course_3_18,Course_3_19,Course_3_20,Course_3_21,Course_3_22,Course_3_23,Course_3_24,Course_3_25,Course_3_26,Course_3_27
COLOMBO,1.2645,1.2652,1.4487,1.8539,1.6718,1.2358,1.2922,1.9595,1.9132,1.8486,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1393,1.0297,1.7492
GAMPAHA,1.2356,1.2415,1.3833,1.8091,1.6844,1.2330,1.2168,1.9631,1.9165,1.7810,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0532,0.9707,1.7492
KALUTARA,1.2573,1.2655,1.3928,1.8223,1.6566,1.2670,1.2760,1.9479,1.9245,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1761,1.0337,1.7492
MATALE,1.1853,1.2045,1.4387,1.4611,1.6634,1.2012,1.1687,1.9674,1.9190,1.8643,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0948,0.9398,1.7492
KANDY,1.1525,1.1521,1.4004,1.6746,1.5737,1.1943,1.1511,1.9568,1.9157,1.8150,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0372,0.9062,1.7492
NUWARA ELIYA,0.9916,0.9038,1.4350,1.4603,1.5250,1.1047,1.0057,1.9872,NQC,1.7558,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.9319,0.9813,1.7492
GALLE,1.2335,1.2497,1.3986,1.7008,1.6403,1.2676,1.2940,1.9481,NQC,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1377,1.0536,1.7492
MATARA,1.2264,1.2486,1.4105,1.8499,1.6323,1.2620,1.2648,1.9469,NQC,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1809,1.0380,1.7492
HAMBANTOTA,1.1297,1.1253,1.3801,1.7737,1.5586,1.2117,1.2395,1.9481,NQC,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1351,1.0378,1.7492
JAFFNA,0.9920,0.9554,1.3396,1.6260,1.4054,1.0513,1.0192,1.9574,1.9100,1.8999,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.9825,0.9652,1.7492
KILINOCHCHI,NQC,0.9002,1.2535,1.5900,1.3450,1.0025,0.9211,2.0071,1.9279,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.3227,0.3406,1.7492
MANNAR,NQC,0.8637,1.4093,1.6063,0.8549,0.7953,0.7186,1.9489,1.9260,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.5198,0.5220,1.7492
MULLAITIVU,NQC,0.8983,1.1083,1.2232,0.8791,1.0215,0.6872,1.9931,2.0482,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.3951,0.4186,1.7492
VAVUNIYA,NQC,0.8828,1.4451,1.5748,1.2761,0.9619,0.9308,2.0501,1.9297,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.7431,1.0122,1.7492
TRINCOMALEE,1.1387,0.7867,1.4661,1.6041,1.3764,1.1019,1.0179,1.9648,1.9471,1.8340,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0314,0.9657,1.7492
BATTICALOA,0.9995,0.9608,1.3797,1.7903,1.6692,1.1726,0.9443,1.9889,1.9366,1.8059,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0105,1.0377,1.7492
AMPARA,1.0385,0.9320,1.3942,1.5531,1.4548,0.9505,0.9749,1.9483,1.9136,1.8907,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1820,0.9415,1.7492
PUTTALAM,1.0194,1.0296,1.4306,1.7853,1.5496,1.0691,1.2590,1.9620,NQC,1.7659,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.8794,0.7978,1.7492
KURUNEGALA,1.1991,1.2044,1.3872,1.7639,1.5818,1.2323,1.1897,1.9497,1.9138,1.8658,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.9967,0.9627,1.7492
ANURADHAPURA,1.0371,1.0328,1.3808,1.6862,1.6127,1.1350,1.2214,1.9611,1.9105,1.8814,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.9294,0.9864,1.7492
POLONNARUWA,1.0206,1.0332,1.4440,1.6645,1.4422,1.0386,0.9940,1.9491,1.9219,1.7849,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,0.9326,0.7205,1.7492
BADULLA,1.1346,1.1362,1.3768,1.6563,1.6573,1.2073,1.2869,1.9468,1.9208,1.8700,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0930,1.0631,1.7492
MONARAGALA,1.1629,1.2001,1.3540,1.8354,1.5240,1.1817,1.2290,2.0022,1.9161,1.8574,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0060,1.0021,1.7492
KEGALLE,1.3031,1.2922,1.3970,1.7930,1.6222,1.2540,1.2633,1.9586,1.9069,1.8518,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1380,0.9210,1.7492
RATNAPURA,1.1614,1.1698,1.4285,1.7522,1.4960,1.1932,1.2077,1.9491,1.9172,1.7983,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1215,0.9697,1.7492
,,,on an all,,rit Basis,,,udy for which the subject ori,,,,,,,,,,,,,,,,,,,
