District,Physical_Science_Block4_1,Physical_Science_Block4_2,Physical_Science_Block4_3,Course_4_4,Course_4_5,Course_4_6,Course_4_7,Course_4_8,Course_4_9,Course_4_10,Course_4_11,Course_4_12,Course_4_13,Course_4_14,Course_4_15,Course_4_16,Course_4_17,Course_4_18,Course_4_19,Course_4_20,Course_4_21,Course_4_22,Course_4_23,Course_4_24,Course_4_25,Course_4_26,Course_4_27
COLOMBO,1.7011,1.3949,1.4494,1.2002,1.1965,NQC,1.2185,1.2295,1.7340,1.4056,1.7325,1.0404,0.5623,1.1819,0.6815,0.3447,1.2136,0.5674,2.2536,1.6730,1.7009,1.5279,1.7608,1.9302,1.4223,1.4522,1.4991
GAMPAHA,1.7011,1.4482,1.7020,1.2001,1.2001,1.3018,1.2407,1.2295,1.7590,1.4080,1.7325,1.0404,0.5623,1.0005,0.8012,0.4966,1.1776,0.1600,2.3053,1.5516,1.6172,1.4646,1.6644,1.8007,1.4152,1.4525,1.4250
KALUTARA,1.7011,1.4318,1.7079,1.2120,1.2171,1.3272,1.2620,1.2295,1.8109,1.4833,1.7325,1.0404,0.5623,1.0094,0.1606,0.1241,1.2260,0.4009,2.1862,1.6681,1.7260,1.4772,1.7408,1.8275,1.4725,1.4552,1.4482
MATALE,1.7011,1.4869,1.5056,1.1947,NQC,1.3356,1.2884,1.2295,1.7483,1.3640,1.7325,1.0404,0.5623,0.7945,0.2855,NQC,1.1327,0.3987,2.0932,1.4980,1.3805,1.4187,1.3965,1.5850,1.1956,1.2905,1.2373
KANDY,1.7011,1.5533,1.5017,1.1426,1.1513,1.2887,1.2629,1.2295,1.7840,1.4836,1.7325,1.0404,0.5623,0.6333,0.6144,0.3811,1.1862,0.7513,2.0451,1.5673,1.5197,1.4668,1.6717,1.6237,1.3799,1.4255,1.4877
NUWARA ELIYA,1.7011,1.6088,1.3873,1.1007,0.9381,1.2903,1.2768,1.2295,1.7238,1.4693,1.7325,1.0404,0.5623,0.6952,0.4703,NQC,0.9851,0.0804,1.9212,1.3359,1.1960,1.3277,1.4923,1.7231,1.2084,1.0659,0.9885
GALLE,1.7011,1.4875,1.8082,1.2084,1.2149,1.3614,1.2768,1.2295,1.6606,1.4374,1.7325,1.0404,0.5623,0.8565,0.2837,-0.4374,1.2211,0.4350,2.3586,1.7169,1.7018,1.5387,1.7666,1.7322,1.4206,1.4664,1.4971
MATARA,1.7011,1.5859,1.7735,1.2030,1.2222,1.3110,1.2758,1.2295,1.6807,1.4177,1.7325,1.0404,0.5623,1.0482,0.3383,-0.1558,1.2178,-0.0244,2.2919,1.7311,1.6877,1.5401,1.7540,1.8344,1.4475,1.4823,1.4519
HAMBANTOTA,1.7011,1.4987,1.8504,1.1296,NQC,1.3101,1.2821,1.2295,1.8133,1.4165,1.7325,1.0404,0.5623,1.1590,0.3272,0.8690,1.2402,0.4698,1.9352,1.6714,1.5450,1.4362,1.6034,1.6082,1.4715,1.4865,1.3956
JAFFNA,1.7011,1.5062,NQC,1.0335,0.9812,1.2881,1.1653,1.2295,1.7010,1.1292,1.7325,1.0404,0.5623,0.5263,0.7016,NQC,1.1509,NQC,2.2750,1.7201,1.6493,1.3523,1.6058,1.5365,1.5066,1.4832,1.3934
KILINOCHCHI,1.7011,1.6150,NQC,1.0498,NQC,1.3206,1.2385,1.2295,1.1998,1.1851,1.7325,1.0404,0.5623,NQC,NQC,NQC,1.0055,NQC,2.2256,1.5666,1.5604,1.0870,1.3041,1.1112,0.9873,1.2532,1.0812
MANNAR,1.7011,1.4040,NQC,NQC,0.8087,1.3623,1.2543,1.2295,1.2269,1.0307,1.7325,1.0404,0.5623,NQC,NQC,NQC,1.0302,NQC,1.8449,1.5265,1.3635,1.3204,0.9606,1.5261,1.2830,0.8017,0.5439
