District,Physical_Science_Advanced_1,Physical_Science_Advanced_2,Course_6_3,Course_6_4,Course_6_5,Course_6_6,Course_6_7,Course_6_8,Course_6_9,Course_6_10,Course_6_11,Course_6_12,Course_6_13,Course_6_14,Course_6_15,Course_6_16,Course_6_17,Course_6_18,Course_6_19,Course_6_20,Course_6_21,Course_6_22,Course_6_23,Course_6_24,Course_6_25,Course_6_26,Course_6_27
COLOMBO,0.9795,1.0351,0.9135,1.6132,1.5832,1.2179,1.5140,1.7384,1.6896,1.4388,1.6021,1.4470,1.5903,1.6690,1.6606,1.3944,1.4666,1.1106,1.5659,1.5081,1.6391,0.8913,1.0396,1.1032,0.9373,0.9259,
GAMPAHA,0.9844,1.0385,0.7793,1.6367,1.6159,1.1654,1.5077,NQC,NQC,1.3287,1.6302,1.4774,1.5088,1.6674,1.6075,1.3145,1.4645,1.1026,1.5667,1.4938,1.6468,0.8411,1.0016,1.1331,0.9869,0.9554,
KALUTARA,1.1731,1.1415,NQC,1.6024,1.6287,1.4814,1.5105,1.7454,1.6900,NQC,1.6416,1.5364,1.5790,1.7026,1.7134,1.4456,1.4468,1.0805,1.5538,1.5367,1.6579,0.9220,1.0272,1.1886,1.0220,0.9223,
MATALE,1.0753,1.1037,0.9377,1.6051,NQC,1.4527,1.5392,NQC,NQC,1.5788,NQC,1.5392,1.4396,1.6670,NQC,1.3797,1.4895,1.0292,1.4972,1.3092,1.4151,0.9128,0.7995,1.1430,0.9994,0.9517,
KANDY,1.0030,1.0398,1.0288,1.6480,NQC,1.3706,1.5407,1.7272,1.6928,1.5143,1.6196,1.5319,1.4713,1.6671,1.6553,1.3818,1.4647,1.0616,1.5882,1.5116,1.5794,0.8721,0.9922,1.1463,1.0095,0.9628,
NUWARA ELIYA,0.9770,1.0900,0.8176,NQC,NQC,1.0619,NQC,NQC,NQC,1.2582,NQC,1.4830,1.4545,NQC,1.4233,1.2552,1.4475,0.8314,1.3647,1.1424,1.3003,0.8127,1.0248,1.0597,1.0268,0.7714,
GALLE,NQC,1.1519,NQC,NQC,1.5939,NQC,1.5031,1.7456,1.6935,NQC,1.6003,1.5032,1.5699,1.6999,NQC,1.4577,1.4708,1.1504,1.5376,1.5092,1.6369,0.8972,1.0586,1.1403,1.0448,0.9674,
MATARA,NQC,1.1111,NQC,1.6114,1.5859,NQC,1.5331,1.7208,1.6950,NQC,1.6664,1.6003,1.5073,1.7194,1.7187,1.4129,1.4549,1.1435,1.4829,1.5434,1.6695,0.9336,1.0483,1.1604,0.9769,0.9897,
HAMBANTOTA,NQC,1.1486,NQC,1.6231,1.5936,NQC,1.5494,1.7265,1.7155,NQC,1.6352,1.5743,1.6186,1.6938,1.7558,1.4285,1.5537,1.1347,1.5634,1.5009,1.5501,0.9328,1.0513,1.1935,1.0085,0.9851,
JAFFNA,1.1082,NQC,NQC,1.6235,1.5832,1.5677,NQC,1.7491,1.7031,1.6488,1.6890,1.6332,1.5873,1.6664,1.6658,1.4795,1.5425,0.8670,1.4963,1.4371,1.4681,0.7046,0.8839,1.1748,0.8984,0.8587,
KILINOCHCHI,1.2149,1.1044,NQC,NQC,NQC,1.4619,NQC,NQC,NQC,1.6448,NQC,1.4354,1.4854,NQC,1.6376,1.3427,1.4117,0.5521,1.0891,1.2903,0.7479,0.3617,0.8032,0.9491,0.6882,0.5153,
MANNAR,1.1290,1.1607,NQC,NQC,NQC,1.4508,NQC,NQC,NQC,1.4631,NQC,1.4413,1.4038,NQC,1.5116,1.4067,1.4331,0.5385,1.1535,0.9348,0.6244,0.4609,0.9279,0.5901,0.7177,0.2956,
MULLAITIVU,NQC,1.2075,NQC,NQC,NQC,1.3083,NQC,NQC,NQC,1.4696,NQC,1.5469,1.4903,NQC,1.6146,1.2816,1.4905,0.8814,1.0912,0.6216,0.5527,0.5134,0.3215,0.4596,0.5314,0.6229,
VAVUNIYA,1.0213,NQC,0.9276,NQC,NQC,1.3145,NQC,NQC,NQC,1.3808,NQC,1.3469,1.4791,NQC,1.4806,1.4339,1.4687,0.9434,1.2666,1.0180,0.6780,0.9313,0.6186,0.6329,0.9459,0.4658,
TRINCOMALEE,1.2121,1.1519,1.1689,NQC,NQC,1.5061,1.5591,NQC,NQC,1.5169,NQC,1.6349,1.5350,NQC,1.6021,1.4502,1.5098,1.1331,1.3200,1.0824,1.5713,0.7641,0.9457,1.1193,1.0021,0.9878,
BATTICALOA,1.1400,1.1838,1.1274,1.6296,1.5903,1.5429,1.5352,1.7192,1.6967,NQC,1.6446,1.6191,1.5842,1.6715,NQC,1.4943,1.5307,1.0115,1.5076,1.2892,1.6048,0.7533,1.0259,1.0772,0.8460,0.9578,
AMPARA,1.2027,1.1173,1.1333,1.6049,1.5895,1.5889,1.5711,1.7264,1.6993,1.6713,1.6631,1.6278,1.6142,1.7001,1.7360,1.4848,1.5469,1.0226,1.5635,1.2629,1.5308,0.8616,0.9701,1.0441,0.9011,0.9619,
PUTTALAM,0.9952,1.1038,0.8405,NQC,1.6319,1.4031,1.5491,NQC,NQC,1.4963,NQC,1.4590,1.4920,NQC,1.6132,1.4769,1.4987,0.9798,1.4688,1.2436,1.6553,0.8125,0.9809,1.0743,0.9771,0.7392,
KURUNEGALA,1.0457,1.0494,NQC,1.6228,1.5936,1.4712,1.5203,1.7195,1.6946,1.6080,1.6077,1.6038,1.5850,1.6797,1.6600,1.4668,1.5011,1.0458,1.5618,1.5001,1.5581,0.8814,1.0537,1.1049,1.0229,0.9545,
ANURADHAPURA,0.9872,1.0350,NQC,1.6103,NQC,1.3682,1.5807,NQC,NQC,1.4527,NQC,1.5696,1.5830,NQC,1.6166,1.3258,1.3664,1.0202,1.5328,1.3398,1.5492,0.7447,0.9417,1.0446,0.9546,0.8184,
POLONNARUWA,0.9817,1.1309,0.8964,NQC,NQC,1.2869,NQC,NQC,NQC,1.3785,NQC,1.4065,1.3744,NQC,1.4468,1.3563,1.2836,1.0902,1.4369,0.9694,1.3761,0.6740,0.8567,0.9891,0.7676,0.8983,
BADULLA,0.9868,1.0382,NQC,1.6342,1.5932,1.4454,1.5027,NQC,1.7064,1.4661,1.6196,1.5526,1.5860,1.6824,1.6527,1.4132,1.4453,1.0534,1.5388,1.4192,1.5734,0.8740,1.0211,1.1167,0.9534,0.9593,
MONARAGALA,1.2760,1.0802,1.1926,NQC,NQC,1.3328,1.5108,NQC,NQC,1.4893,NQC,1.4564,1.5024,NQC,1.4632,1.2791,1.5313,1.1207,1.5006,1.3398,1.5653,0.8727,1.0634,1.1172,1.0085,0.9052,
KEGALLE,1.1443,1.0697,NQC,NQC,1.5941,1.4392,1.5109,1.7512,1.6974,1.6278,1.6053,1.6324,1.5922,1.7387,1.6881,1.4977,1.5439,1.1518,1.5317,1.4711,1.6427,0.8444,0.9994,1.1558,1.0270,0.9846,
RATNAPURA,1.0611,1.0576,NQC,1.6302,1.5843,1.5307,1.5123,NQC,1.6913,NQC,1.6350,1.5669,1.6176,1.6943,1.6538,1.4445,1.5015,1.1434,1.5494,1.5250,1.6300,0.9185,1.0331,1.1501,0.9943,0.9264,
,,,,sland Merit Basis # Courses of Stud,,,,,,,,l Tests / A,,sts were co,,,,,,,,,,,,,
