District,Commerce,Management,Public_Management,Estate_Management,Accounting,Course_8_6,Course_8_7,Course_8_8,Course_8_9,Course_8_10,Course_8_11,Course_8_12,Course_8_13,Course_8_14,Course_8_15,Course_8_16,Course_8_17,Course_8_18,Course_8_19,Course_8_20,Course_8_21,Course_8_22,Course_8_23,Course_8_24,Course_8_25,Course_8_26,Course_8_27
COLOMBO,1.9193,2.1286,1.7753,1.2135,1.5195,1.1999,1.2214,1.3456,1.2079,1.6656,1.9411,1.5012,0.8167,1.4048,0.4446,0.4450,1.1511,1.1164,1.2398,1.1736,1.8860,2.0626,1.7683,1.5883,0.9987,1.1070,
GAMPAHA,1.9486,2.1105,1.7754,1.3176,1.5540,1.2613,1.2605,1.3412,1.2563,1.6312,1.9012,1.5356,0.8032,1.3972,0.6227,0.6565,1.1139,1.1014,1.2561,1.1369,1.9190,2.0708,1.8013,1.6052,1.0592,1.0944,
KALUTARA,1.9463,2.1195,1.7707,1.4008,1.5259,1.3521,1.3126,1.3524,1.4004,1.6336,1.8918,1.5270,0.8584,1.4438,0.8894,0.8724,1.1332,1.1353,1.3671,1.1366,NQC,2.0798,1.8305,1.6903,1.1970,1.1482,
MATALE,2.2593,2.1418,1.8603,NQC,1.5362,1.3716,NQC,1.3816,NQC,1.6352,2.0913,1.5466,NQC,1.4859,NQC,NQC,1.1318,NQC,1.2497,1.1413,NQC,2.1236,1.8357,1.6561,NQC,1.3559,
KANDY,1.9398,2.1408,1.8001,NQC,1.5160,1.2070,1.2266,1.3418,1.2168,1.6453,1.8918,1.5387,1.0800,1.4681,1.0825,1.0702,1.1710,1.0960,1.2631,1.1711,1.8891,2.0561,1.7892,1.5940,1.0534,1.1341,
NUWARA ELIYA,1.9463,2.1308,1.7776,0.9145,1.5924,1.1706,1.3102,1.4422,1.0981,1.8665,1.9161,NQC,0.9895,1.4668,0.9919,1.0304,1.1708,1.0967,1.2406,1.1332,1.9756,2.4326,1.8818,NQC,0.7402,NQC,
GALLE,1.9123,2.1197,1.7738,1.2817,1.5255,1.3036,1.2869,1.3995,1.2779,1.6469,1.9939,1.5200,0.8231,1.4100,0.7854,0.7731,1.3873,1.1204,1.2400,1.1388,1.9217,2.3834,1.8059,1.5999,1.1809,1.1733,
MATARA,1.9226,2.1226,1.7748,1.3735,1.5190,1.3545,1.3690,1.3646,1.3487,1.6541,1.9717,1.5216,1.0421,1.4214,1.0736,1.0396,1.1560,1.0964,1.2750,1.1437,1.9084,2.0464,1.7767,1.5893,NQC,1.3959,
HAMBANTOTA,1.9700,2.4779,1.8455,1.1605,1.5256,1.1581,1.2247,1.4154,1.1577,1.6545,1.9367,1.5196,1.0681,1.3974,0.9949,0.9944,1.2072,1.1457,1.3117,1.1326,2.0416,2.0765,1.8209,1.5898,1.1970,1.1067,
JAFFNA,NQC,2.2461,1.8114,0.7875,NQC,1.3237,NQC,1.6314,1.2019,NQC,NQC,NQC,0.8588,NQC,0.5714,0.6156,1.1571,1.1899,1.2428,1.1328,NQC,2.1084,1.7676,1.6281,NQC,1.0939,
