District,Engineering_Moratuwa,Engineering_Peradeniya,Engineering_Ruhuna,Engineering_Jaffna,Engineering_SEUSL,Computer_Science,Quantity_Surveying,Information_Technology,Course_5_9,Course_5_10,Course_5_11,Course_5_12,Course_5_13,Course_5_14,Course_5_15,Course_5_16,Course_5_17,Course_5_18,Course_5_19,Course_5_20,Course_5_21,Course_5_22,Course_5_23,Course_5_24,Course_5_25,Course_5_26,Course_5_27
COLOMBO,1.2946,1.4013,1.8821,1.2931,1.1864,1.7906,1.7618,1.4087,1.5155,1.5391,1.4183,1.2599,1.1247,1.0928,0.5447,0.6683,0.7139,1.0215,1.2336,1.0700,0.9828,1.2791,1.2964,0.7395,1.3266,1.2937,1.2517
GAMPAHA,1.2724,1.4110,1.9386,1.2888,1.2194,1.7959,1.7435,1.3329,1.5143,1.5402,1.3337,1.2698,0.9585,0.8221,-0.0386,0.7541,0.7147,1.0236,1.2058,1.0427,0.9494,1.2450,1.2563,0.7158,1.3313,1.2802,1.2666
KALUTARA,1.3397,1.3997,2.0067,1.2980,1.2451,1.8170,1.7520,1.4583,1.5266,1.5389,1.3903,1.2537,1.1998,1.1018,0.7884,0.7790,0.8376,1.1129,1.2299,1.0926,1.0898,1.2757,1.3180,0.8623,1.3321,1.2746,1.2500
MATALE,1.1401,1.2703,1.7796,1.2910,1.2507,1.7898,NQC,1.3680,NQC,NQC,1.1177,1.4962,0.9652,1.0347,NQC,0.7608,0.7408,1.1491,1.2134,1.1305,1.1008,1.2634,1.2851,0.8839,1.3320,1.2930,NQC
KANDY,1.2445,1.4329,1.9892,1.2950,1.1677,1.7941,NQC,1.2759,1.5188,1.7117,1.3914,1.2676,1.0288,1.1027,0.8705,0.7223,0.8539,1.1356,1.1400,1.1436,1.0690,1.2697,1.2767,0.8806,1.4256,1.2958,1.2587
NUWARA ELIYA,0.9467,1.0846,1.9640,NQC,0.7939,1.9191,1.7511,0.9223,NQC,NQC,0.9131,1.3473,0.8614,0.8029,0.4723,0.7899,0.6609,0.9457,0.9839,0.9741,0.9636,1.2655,1.3031,0.7208,NQC,1.4127,1.2490
GALLE,1.3217,1.4614,1.9225,1.2880,1.2775,1.7980,1.7467,1.5993,1.5180,1.5530,1.4645,1.2528,1.2437,1.0765,NQC,0.7633,0.8289,1.1581,1.2543,1.1475,1.0899,1.2872,1.3030,0.8572,1.3353,1.2850,1.2511
MATARA,1.3354,1.4423,2.0075,1.2961,1.2699,1.8163,1.7521,1.5133,1.5203,1.5422,NQC,1.2710,1.1537,0.9831,NQC,0.7978,0.8645,1.1494,1.2507,1.1810,1.1079,1.2951,1.3118,0.8821,1.3346,1.2817,1.2695
HAMBANTOTA,1.2883,1.4161,1.9936,1.3009,1.1536,1.8426,1.7603,1.3447,1.5198,1.5396,NQC,1.2585,1.1598,1.0733,NQC,0.7370,0.8545,1.0560,1.1412,1.0516,1.0483,1.2886,1.3137,0.8540,1.3417,1.2980,1.2523
JAFFNA,1.3125,1.4489,2.0110,1.3090,1.2357,1.8243,1.7491,1.3395,1.5180,1.5357,1.4525,1.3316,1.0034,1.0428,0.7736,0.8474,0.7151,0.9579,0.9436,0.9955,0.8739,1.2797,1.1325,0.8401,1.3535,1.3058,1.2625
