District,Management_and_Information_Technology_MIT_Kelaniya,Management_and_IT_SEUSL,Project_Management,Business_Information_Systems,Entrepreneurship,Financial_Management,Course_9_7,Course_9_8,Course_9_9,Course_9_10,Course_9_11,Course_9_12,Course_9_13,Course_9_14,Course_9_15,Course_9_16,Course_9_17,Course_9_18,Course_9_19,Course_9_20,Course_9_21,Course_9_22,Course_9_23,Course_9_24,Course_9_25,Course_9_26,Course_9_27
COLOMBO,1.3093,0.9957,1.4149,1.1908,1.1866,1.4103,0.3680,0.3629,1.1323,1.1583,1.2470,1.0832,1.0387,0.8117,0.5315,0.1230,0.4263,0.6736,0.7988,NQC,0.3330,0.1082,NQC,0.5904,-0.4587,NQC,
GAMPAHA,1.3078,1.0597,1.4277,1.1345,1.1660,1.5729,1.5504,-0.2409,1.2243,1.1127,1.2222,1.0832,1.0387,0.8117,0.8515,0.4842,0.4165,0.7234,0.9300,NQC,NQC,-0.0258,NQC,NQC,NQC,0.0426,
KALUTARA,1.3678,1.1115,1.4458,1.1845,1.2014,1.4806,0.9418,0.7202,1.2748,1.0970,1.2551,1.0832,1.0387,0.8117,1.0227,1.0121,0.5580,0.8036,0.7708,0.5401,NQC,NQC,NQC,0.4717,-0.0127,NQC,
MATALE,1.3244,NQC,1.6619,NQC,0.8941,NQC,NQC,0.9590,1.3284,1.1714,1.2500,1.0832,1.0387,0.8117,0.5271,NQC,0.6548,0.9088,1.0102,NQC,0.4766,NQC,-0.1961,0.1644,NQC,-0.1572,
KANDY,1.3143,1.0452,1.4339,1.1124,1.0946,1.3807,1.1325,NQC,1.2239,1.0077,1.2085,1.0832,1.0387,0.8117,0.0982,1.0062,0.7579,0.9023,0.4495,0.0905,-0.3197,-0.1414,0.7345,-0.4646,-0.3773,-0.1919,
NUWARA ELIYA,NQC,0.7393,1.4586,NQC,0.4277,NQC,1.2474,1.2544,1.1365,1.2121,1.2333,1.0832,1.0387,0.8117,NQC,1.1030,0.0416,0.3513,-0.0313,0.4648,-0.1370,-0.5522,0.4364,-0.3608,-0.0454,0.2174,
GALLE,1.3190,1.2080,1.4160,1.1620,1.2264,1.3632,1.2569,1.0091,1.3108,1.0667,1.2303,1.0832,1.0387,0.8117,0.3292,0.8914,0.3576,0.8266,0.7974,-0.3180,NQC,NQC,NQC,NQC,NQC,NQC,
MATARA,1.3708,NQC,1.4210,1.1164,1.2083,1.3626,NQC,0.4792,1.2614,1.2136,1.2650,1.0832,1.0387,0.8117,1.1681,0.8090,0.8129,0.9345,0.5847,NQC,NQC,NQC,NQC,NQC,NQC,NQC,
HAMBANTOTA,1.3232,NQC,1.4271,NQC,1.0391,1.4886,NQC,0.7277,1.2174,1.0386,1.2456,1.0832,1.0387,0.8117,1.1122,NQC,0.8204,0.8554,0.2127,NQC,NQC,NQC,NQC,NQC,NQC,NQC,
JAFFNA,1.3191,1.0424,1.5612,1.0998,1.0986,NQC,1.2782,1.2542,NQC,NQC,1.1310,1.0832,1.0387,0.8117,NQC,NQC,NQC,NQC,NQC,0.5392,0.4041,0.4982,0.0511,0.1727,0.4436,0.8510,
KILINOCHCHI,NQC,0.7644,1.4769,NQC,0.5722,NQC,1.1581,NQC,NQC,NQC,0.9460,1.0832,1.0387,0.8117,NQC,NQC,NQC,NQC,NQC,-0.1328,-0.2660,0.0461,NQC,NQC,0.0287,0.8762,
MANNAR,NQC,1.0269,1.4505,NQC,0.6337,NQC,1.1410,NQC,NQC,NQC,0.8494,1.0832,1.0387,0.8117,NQC,NQC,NQC,NQC,NQC,0.5451,0.5185,0.3532,0.0364,-0.0179,0.2395,0.7120,
MULLAITIVU,NQC,NQC,NQC,NQC,0.0388,NQC,1.1309,NQC,NQC,NQC,1.0971,1.0832,1.0387,0.8117,NQC,NQC,NQC,NQC,NQC,0.4236,0.4687,0.0187,0.5031,0.1743,0.2583,0.7996,
VAVUNIYA,1.6092,0.7387,1.5851,NQC,0.6811,NQC,1.0733,NQC,0.8947,0.5614,1.1236,1.0832,1.0387,0.8117,NQC,NQC,1.1697,NQC,NQC,NQC,0.1460,0.2858,NQC,0.8642,0.3834,0.5193,
TRINCOMALEE,NQC,0.7827,1.7163,NQC,0.6716,NQC,1.4610,1.0663,1.1143,NQC,1.2643,1.0832,1.0387,0.8117,NQC,NQC,0.2963,0.7114,0.8805,0.4401,0.2517,0.1343,-0.2308,-0.4184,-0.4320,0.9294,
BATTICALOA,1.3336,1.0522,1.4486,1.2323,0.8356,NQC,1.1763,1.3005,NQC,NQC,1.1718,1.0832,1.0387,0.8117,NQC,NQC,NQC,NQC,NQC,0.4818,0.1242,0.4758,-0.3346,0.1586,0.5702,0.9010,
AMPARA,1.3531,0.9723,1.4265,NQC,0.5862,1.3898,1.1062,1.1194,1.1321,1.0108,1.1659,1.0832,1.0387,0.8117,0.5326,NQC,-0.0562,0.9084,0.9779,0.0716,-0.7518,-0.2114,-0.1498,-0.0022,0.4605,0.6950,
PUTTALAM,1.3607,0.5638,NQC,NQC,0.7157,1.5464,1.1110,NQC,1.0474,0.5864,1.1432,1.0832,1.0387,0.8117,-0.1208,1.4124,0.3987,0.8006,0.9737,0.5182,NQC,NQC,0.2707,NQC,NQC,-0.3525,
